userId,user_name,password,date_of_birth,therapist_name
80302,Nilson,12345678,18/02/1994,Optional
UserID,Name,DateOfBirth,Password,TherapistName
80302,Nilson,18/02/1994,12345678,Optional
777777,TestUser,12345678,18/02/1994,Optional
UserID,Name,DateOfBirth,Password,TherapistName
777777,TestUser,18/02/1994,12345678,Optional
995247,LastTest,12345678,18/02/1994,Optional
UserID,Name,DateOfBirth,Password,TherapistName
995247,LastTest,18/02/1994,12345678,Optional
101132,NilsonTest,12345678,18/02/1994,Optional
UserID,Name,DateOfBirth,Password,TherapistName
101132,NilsonTest,18/02/1994,12345678,Optional
139000,TestNilson,12345678,18/02/1994,Optional
UserID,Name,DateOfBirth,Password,TherapistName
139000,TestNilson,18/02/1994,12345678,Optional
467062,Test9,12345678,18/02/1994,Optional
UserID,Name,DateOfBirth,Password,TherapistName
467062,Test9,18/02/1994,12345678,Optional
